Step,Car_X,Car_Y,Lidar_Range,Lidar_Bearing
1,0,0.1,1.5743233,0.21002291
2,0,0.2,1.5756227,0.22752482
3,0,0.30000000000000004,1.574,0.22752482
4,0,0.4,1.5756227,0.22752482
5,0,0.5,1.56,0.22752482
6,0,0.6000000000000001,1.5596226,0.22752482
7,0,0.7000000000000001,1.4860826,0.24502672
8,0,0.8,1.3762786,0.24502672
9,0,0.9,1.2506232,0.26252863
10,0,1.0,1.2527441,0.26252863
11,0,1.1,1.1181768,0.26252863
12,0,1.2000000000000002,1.1183102,0.26252863
13,0,1.3,0.98075926,0.28003055
14,0,1.4000000000000001,0.84,0.31503436
15,0,1.5,0.83940697,0.31503436
16,0,1.6,0.69322044,0.33253628
17,0,1.7000000000000002,0.558,0.38504198
18,0,1.8,0.5561307,0.38504198
19,0,1.9000000000000001,0.42338446,0.5950649
20,0,2.0,0.42305937,0.6125668
21,0,2.1,0.34281424,1.2951412
22,0,2.2,0.34282124,1.2951412
23,0,2.3000000000000003,0.34282824,1.2951412
24,0,2.4000000000000004,0.34283525,1.2951412
25,0,2.5,0.34284225,1.2951412
26,0,2.6,0.34284925,1.2951412
27,0,2.7,0.34285626,1.2951412
28,0,2.8000000000000003,0.34286326,1.2951412
29,0,2.9000000000000004,0.34287027,1.2951412
30,0,3.0,0.34287727,1.2951412
31,0,3.1,0.34288427,1.2951412
32,0,3.2,0.34289128,1.2951412
33,0,3.3000000000000003,0.34289828,1.2951412
34,0,3.4000000000000004,0.34290528,1.2951412
35,0,3.5,0.3429123,1.2951412
36,0,3.6,0.3429193,1.2951412
37,0,3.7,0.3429263,1.2951412
38,0,3.8000000000000003,0.3429333,1.2951412
39,0,3.9000000000000004,0.3429403,1.2951412
40,0,4.0,0.3429473,1.2951412
41,0,4.1000000000000005,0.3429543,1.2951412
42,0,4.2,0.3429613,1.2951412
43,0,4.3,0.3429683,1.2951412
44,0,4.4,0.34297532,1.2951412
45,0,4.5,0.34298232,1.2951412
46,0,4.6000000000000005,0.34298933,1.2951412
47,0,4.7,0.34299633,1.2951412
48,0,4.800000000000001,0.34300333,1.2951412
49,0,4.9,0.34301034,1.2951412
50,0,5.0,0.34301734,1.2951412
51,0,5.1000000000000005,0.34302434,1.2951412
52,0,5.2,0.34303135,1.2951412
53,0,5.300000000000001,0.34303835,1.2951412
54,0,5.4,0.34304535,1.2951412
55,0,5.5,0.34305236,1.2951412
56,0,5.6000000000000005,0.34305936,1.2951412
57,0,5.7,0.34306636,1.2951412
58,0,5.800000000000001,0.34307337,1.2951412
59,0,5.9,0.34308037,1.2951412
60,0,6.0,0.34308738,1.2951412
61,0,6.1000000000000005,0.34309438,1.2951412
62,0,6.2,0.34310138,1.2951412
63,0,6.300000000000001,0.3431084,1.2951412
64,0,6.4,0.3431154,1.2951412
65,0,6.5,0.3431224,1.2951412
66,0,6.6000000000000005,0.3431294,1.2951412
67,0,6.7,0.3431364,1.2951412
68,0,6.800000000000001,0.3431434,1.2951412
69,0,6.9,0.3431504,1.2951412
70,0,7.0,0.3899128,1.9602138
71,0,7.1000000000000005,0.5260343,2.5552788
72,0,7.2,0.528,2.5377767
74,0,7.4,0.65977585,0.0
75,0,7.5,0.66504526,0.0
76,0,7.6000000000000005,0.43800187,0.8750954
77,0,7.7,0.438,0.8925974
78,0,7.800000000000001,0.41021034,1.5226661
79,0,7.9,0.45588863,2.0302215
80,0,8.0,0.57,2.485271
81,0,8.1,0.57,2.485271
82,0,8.200000000000001,0.71,2.852811
83,0,8.3,0.71,2.852811
84,0,8.4,0.834,3.1153398
85,0,8.5,1.0021154,3.447876
86,0,8.6,1.002,3.447876
87,0,8.700000000000001,1.1081824,3.675401
88,0,8.8,1.1159915,3.657899
89,0,8.9,1.1923032,3.9029257
90,0,9.0,1.1924751,3.9029257
91,0,9.1,1.258,4.1304507
92,0,9.200000000000001,1.3466742,4.1654544
93,0,9.3,1.3445914,4.182956
94,0,9.4,1.4414355,4.1479526
95,0,9.5,1.5477496,4.1129484
96,0,9.600000000000001,1.5495522,4.0954466
97,0,9.700000000000001,1.696,4.0254393
98,0,9.8,1.6940668,4.0254393
99,0,9.9,1.8792051,3.9729333
100,0,10.0,1.9236197,3.9379294
101,0,10.100000000000001,1.9178361,3.9379294
102,0,10.200000000000001,2.1720624,3.9029257
103,0,10.3,2.1601853,3.85042
104,0,10.4,2.1600513,3.85042
105,0,10.5,2.2724204,3.815416
106,0,10.600000000000001,2.3150723,3.815416
107,0,10.700000000000001,2.4039176,3.7979143
108,0,10.8,2.55978,3.7629104
109,0,10.9,2.7649276,3.7454085
113,0,11.3,3.011324,3.675401
115,0,11.5,3.160607,3.657899
116,0,11.600000000000001,3.1607385,3.657899
117,0,11.700000000000001,3.3185732,3.640397
